V1,signif
aten_0.1.m1.1239.m1,1
aten_0.1.m1.12390.m1,1
aten_0.1.m1.12391.m1,1
aten_0.1.m1.12394.m1,1
aten_0.1.m1.12397.m1,1
aten_0.1.m1.12398.m1,1
aten_0.1.m1.1240.m1,1
aten_0.1.m1.12400.m1,1
aten_0.1.m1.12408.m1,1
aten_0.1.m1.12410.m1,1
aten_0.1.m1.12411.m1,1
aten_0.1.m1.12417.m1,1
aten_0.1.m1.12422.m1,1
aten_0.1.m1.12428.m1,1
aten_0.1.m1.12429.m1,1
aten_0.1.m1.12430.m1,1
aten_0.1.m1.12432.m1,1
aten_0.1.m1.12433.m1,1
aten_0.1.m1.12434.m1,1
aten_0.1.m1.12441.m1,1
aten_0.1.m1.12445.m1,1
aten_0.1.m1.12446.m1,1
aten_0.1.m1.12447.m1,1
aten_0.1.m1.1245.m1,1
aten_0.1.m1.12451.m1,1
aten_0.1.m1.12455.m1,1
aten_0.1.m1.12456.m1,1
aten_0.1.m1.12460.m1,1
aten_0.1.m1.12461.m1,1
aten_0.1.m1.12462.m1,1
aten_0.1.m1.12463.m1,1
aten_0.1.m1.12465.m1,1
aten_0.1.m1.12468.m1,1
aten_0.1.m1.12470.m1,1
aten_0.1.m1.12472.m1,1
aten_0.1.m1.12474.m1,1
aten_0.1.m1.12475.m1,1
aten_0.1.m1.12476.m1,1
aten_0.1.m1.12477.m1,1
aten_0.1.m1.12483.m1,1
aten_0.1.m1.12485.m1,1
aten_0.1.m1.12487.m1,1
aten_0.1.m1.12498.m1,1
aten_0.1.m1.12499.m1,1
aten_0.1.m1.12501.m1,1
aten_0.1.m1.12503.m1,1
aten_0.1.m1.12504.m1,1
aten_0.1.m1.12506.m1,1
aten_0.1.m1.12507.m1,1
aten_0.1.m1.12511.m1,1
aten_0.1.m1.12518.m1,1
aten_0.1.m1.12520.m1,1
